amount,product_name,created_time
18.5,GUILD,2019-06-19 13:23:00.067515
17.75,GUILD,2019-07-09 18:55:15.068150
17.75,GUILD,2019-07-11 23:13:55.494677
17.75,GUILD,2019-07-12 17:01:34.077648
17.75,GUILD,2019-07-24 19:40:44.300688
17.75,GUILD,2019-07-29 15:01:44.524884
18.5,GUILD,2019-08-06 16:49:47.715779
18.25,GUILD,2019-08-07 05:15:02.258781
17.75,GUILD,2019-08-07 12:35:34.800626
17.75,GUILD,2019-08-07 12:56:26.506737
17.75,GUILD,2019-08-07 14:20:39.482045
20,GUILD,2019-12-19 17:57:08.266732
20,GUILD,2020-01-09 01:14:15.040903
20,GUILD,2020-01-11 19:06:53.540725
20.1,GUILD,2020-02-07 14:17:54.838349
20.1,GUILD,2020-02-13 17:48:39.762933
20.1,GUILD,2020-02-15 17:05:40.144948
20.1,GUILD,2020-02-23 19:36:11.072570
20.1,GUILD,2020-02-28 00:28:07.109448
20.1,GUILD,2020-03-02 22:49:49.121368
20.1,GUILD,2020-03-07 13:35:50.847508
20.1,GUILD,2020-03-07 13:39:10.761496
20.1,GUILD,2020-03-11 01:07:40.161360
20.1,GUILD,2020-03-14 13:28:52.964770
20.1,GUILD,2020-03-14 19:28:30.785169
20.1,GUILD,2020-03-16 13:14:25.799119
20.1,GUILD,2020-03-16 13:35:07.474985
20.1,GUILD,2020-03-17 12:14:26.949745
20.1,GUILD,2020-03-17 17:33:40.601377
20.1,GUILD,2020-03-19 00:26:30.471908
20.1,GUILD,2020-03-19 15:58:23.823148
20.1,GUILD,2020-03-20 13:40:23.504675
20.1,GUILD,2020-03-20 14:15:17.049568
20.1,GUILD,2020-03-20 15:47:22.100274
20.1,GUILD,2020-03-20 21:31:33.178026
48.8,BEST ,2019-09-17 06:42:20.223828
48.8,BEST ,2019-09-27 20:49:08.973911
23.8,Skype,2020-02-09 19:03:44.854672
23.8,Skype,2020-02-10 13:00:41.331191
23.8,Skype,2020-02-28 15:48:57.588513
23.8,Skype,2020-05-15 15:30:45.557370
23.8,Skype,2020-06-09 18:41:03.417845
23.8,Skype,2020-06-23 13:39:46.979892
23.8,Skype,2020-07-16 10:02:29.300810
23.75,Skype,2020-07-27 20:38:39.499081
23.8,Skype,2020-08-14 22:21:00.116783
23.8,Skype,2020-08-21 11:17:43.031605
9.65,Skype,2020-04-03 15:03:38.723364
9.7,Skype,2020-04-29 10:50:46.908509
9.65,Skype,2020-05-31 03:03:07.876672
9.7,Skype,2020-06-01 14:52:03.027874
