page_name,visitors,unique_users,bounce_rate,bounce_rate_type,created_time
/argon/,3,340,18.5,1,2019-06-19 13:23:00.067515
/argon/index.html,100,319,17.75,2,2019-07-09 18:55:15.068150
/argon/charts.html,101,294,17.75,1,2019-07-11 23:13:55.494677
/argon/tables.html,299,147,17.75,2,2019-07-12 17:01:34.077648
/argon/profile.html,100,190,17.75,1,2019-07-24 19:40:44.300688
/argon/,150,341,17.75,2,2019-07-29 15:01:44.524884
/argon/index.html,3,320,18.5,1,2019-08-06 16:49:47.715779
/argon/charts.html,10,295,18.25,2,2019-08-07 05:15:02.258781
/argon/tables.html,237,148,17.75,1,2019-08-07 12:35:34.800626
/argon/profile.html,400,191,17.75,2,2019-08-07 12:56:26.506737
/argon/,100,342,17.75,1,2019-08-07 14:20:39.482045
/argon/index.html,100,321,20,2,2019-12-19 17:57:08.266732
/argon/charts.html,20,296,20,1,2020-01-09 01:14:15.040903
/argon/tables.html,20,149,20,2,2020-01-11 19:06:53.540725
/argon/profile.html,1,192,20.1,1,2020-02-07 14:17:54.838349
/argon/,1,343,20.1,2,2020-02-13 17:48:39.762933
/argon/index.html,2,322,20.1,1,2020-02-15 17:05:40.144948
/argon/charts.html,1,297,20.1,2,2020-02-23 19:36:11.072570
/argon/tables.html,1,150,20.1,1,2020-02-28 00:28:07.109448
/argon/profile.html,2,193,20.1,2,2020-03-02 22:49:49.121368
/argon/,2,341,20.1,1,2020-03-07 13:35:50.847508
/argon/index.html,2,320,20.1,2,2020-03-07 13:39:10.761496
/argon/charts.html,1,295,20.1,1,2020-03-11 01:07:40.161360
/argon/tables.html,1,148,20.1,2,2020-03-14 13:28:52.964770
/argon/profile.html,1,191,20.1,1,2020-03-14 19:28:30.785169
/argon/,2,342,20.1,2,2020-03-16 13:14:25.799119
/argon/index.html,4,321,20.1,1,2020-03-16 13:35:07.474985
/argon/charts.html,3,296,20.1,2,2020-03-17 12:14:26.949745
/argon/tables.html,1,149,20.1,1,2020-03-17 17:33:40.601377
/argon/profile.html,1,192,20.1,2,2020-03-19 00:26:30.471908
/argon/,1,343,20.1,1,2020-03-19 15:58:23.823148
/argon/index.html,4,322,20.1,2,2020-03-20 13:40:23.504675
/argon/charts.html,1,297,20.1,1,2020-03-20 14:15:17.049568
/argon/tables.html,4,150,20.1,2,2020-03-20 15:47:22.100274
